,audiAcc,audiChange,audiCnt,audiInten,movieCd,movieNm,openDt,rank,rankInten,rankOldAndNew,rnum,salesAcc,salesAmt,salesChange,salesInten,salesShare,scrnCnt,showCnt,targetDt
41,39219,248.8,17516,12494,20184621,엑시트,2019-07-31,6,5,OLD,6,302354100,126839100,230.6,88476600,3.3,100,100,20190730
42,199384,2.2,15983,347,20192725,명탐정 코난: 감청의 권,2019-07-24,7,0,OLD,7,1590704687,122456260,1.8,2158130,3.2,502,964,20190730
43,174198,-1.7,15575,-262,20190002,롱 샷,2019-07-24,8,-2,OLD,8,1540113487,128996370,-2,-2684390,3.3,454,900,20190730
44,3377382,3.5,10975,376,20184047,토이 스토리 4,2019-06-20,9,-1,OLD,9,28587480110,85183260,2.8,2316520,2.2,201,316,20190730
45,26221,51.4,5843,1984,20180442,사자,2019-07-31,10,2,OLD,10,233252200,45352000,9.8,4058900,1.2,23,29,20190730
46,11758591,-42.8,96583,-72223,20183867,알라딘,2019-05-23,2,0,OLD,2,100341843449,769099170,-48.7,-731024630,19.6,917,3209,20190729
47,819926,-61.3,64201,-101637,20182490,나랏말싸미,2019-07-24,3,0,OLD,3,6842153243,503289570,-65.2,-944071480,12.8,908,4209,20190729
48,264852,-23.2,55102,-16604,20198323,레드슈즈,2019-07-25,4,1,OLD,4,2105704660,407238060,-31.2,-185077690,10.4,636,1421,20190729
49,7910138,-48.3,37459,-34987,20196309,스파이더맨: 파 프롬 홈,2019-07-02,5,-1,OLD,5,68105501990,301765430,-52.7,-336511490,7.7,638,1816,20190729
50,158623,-38.9,15837,-10088,20190002,롱 샷,2019-07-24,6,1,OLD,6,1411117117,131680760,-45,-107870050,3.4,450,902,20190729
51,183401,-48.8,15636,-14925,20192725,명탐정 코난: 감청의 권,2019-07-24,7,-1,OLD,7,1468248427,120298130,-52.9,-135274720,3.1,511,970,20190729
52,3366407,-23.3,10599,-3214,20184047,토이 스토리 4,2019-06-20,8,0,OLD,8,28502296850,82866740,-31.6,-38337420,2.1,184,294,20190729
53,6782,100,6782,6782,20184462,봉오동 전투,2019-08-07,9,0,NEW,9,62142000,62142000,100,62142000,1.6,30,32,20190729
54,10047412,-29.6,5161,-2165,20183782,기생충,2019-05-30,10,-1,OLD,10,85567628365,42881570,-32.5,-20603520,1.1,112,190,20190729
55,11662008,-5.9,168806,-10589,20183867,알라딘,2019-05-23,2,1,OLD,2,99572744279,1500123800,-6.6,-105148270,18.7,1015,3305,20190728
56,755725,-16.8,165838,-33581,20182490,나랏말싸미,2019-07-24,3,-1,OLD,3,6338863673,1447361050,-16.8,-293202772,18.1,972,4511,20190728
57,7872679,-13,72446,-10867,20196309,스파이더맨: 파 프롬 홈,2019-07-02,4,0,OLD,4,67803736560,638276920,-13.3,-97991640,8.0,688,1831,20190728
58,209750,4.1,71706,2812,20198323,레드슈즈,2019-07-25,5,0,OLD,5,1698466600,592315750,4.4,24999000,7.4,717,1486,20190728
59,167765,-9.6,30561,-3238,20192725,명탐정 코난: 감청의 권,2019-07-24,6,0,OLD,6,1347950297,255572850,-9.8,-27846278,3.2,553,1040,20190728
60,142786,-7.7,25925,-2166,20190002,롱 샷,2019-07-24,7,0,OLD,7,1279436357,239550810,-7.4,-19274688,3.0,454,841,20190728
61,3355808,2.3,13813,312,20184047,토이 스토리 4,2019-06-20,8,0,OLD,8,28419430110,121204160,1.7,2012260,1.5,192,280,20190728
62,10042251,6.5,7326,447,20183782,기생충,2019-05-30,9,0,OLD,9,85524746795,63485090,0.8,498850,0.8,99,160,20190728
63,283935,4.9,3561,165,20190273,천로역정: 천국을 찾아서,2019-06-13,10,0,OLD,10,2121507530,25329900,16.7,3633920,0.3,43,53,20190728
64,589887,89.3,199419,94081,20182490,나랏말싸미,2019-07-24,2,0,OLD,2,4891502623,1740563822,90.7,827615941,19.6,1016,4850,20190727
65,11493202,105.2,179395,91986,20183867,알라딘,2019-05-23,3,0,OLD,3,98072620479,1605272070,105.2,822881310,18.1,1015,3302,20190727
66,7800233,96.5,83313,40919,20196309,스파이더맨: 파 프롬 홈,2019-07-02,4,0,OLD,4,67165459640,736268560,96.5,361657600,8.3,676,1818,20190727
67,138044,122,68894,37867,20198323,레드슈즈,2019-07-25,5,0,OLD,5,1106150850,567316750,127.2,317608560,6.4,709,1464,20190727
68,137204,75,33799,14480,20192725,명탐정 코난: 감청의 권,2019-07-24,6,0,OLD,6,1092377447,283419128,75.1,121529419,3.2,568,1072,20190727
69,116861,54.5,28091,9908,20190002,롱 샷,2019-07-24,7,0,OLD,7,1039885547,258825498,53.8,90591029,2.9,437,835,20190727
70,3341995,107.8,13501,7005,20184047,토이 스토리 4,2019-06-20,8,0,OLD,8,28298225950,119191900,116.8,64213780,1.3,199,291,20190727
71,10034925,77.3,6879,3000,20183782,기생충,2019-05-30,9,0,OLD,9,85461261705,62986240,76.2,27245980,0.7,94,151,20190727
72,280374,215.6,3396,2320,20190273,천로역정: 천국을 찾아서,2019-06-13,10,3,OLD,10,2096177630,21695980,197.7,14408900,0.2,37,48,20190727
73,390468,-7.4,105338,-8443,20182490,나랏말싸미,2019-07-24,2,0,OLD,2,3150938801,912947881,2.3,20875411,21.1,1084,5560,20190726
74,11313807,26.6,87409,18376,20183867,알라딘,2019-05-23,3,0,OLD,3,96467348409,782390760,40.8,226837270,18.1,871,2744,20190726
75,7716920,22.9,42394,7903,20196309,스파이더맨: 파 프롬 홈,2019-07-02,4,1,OLD,4,66429191080,374610960,34.3,95761110,8.7,670,1844,20190726
76,69150,-10.4,31027,-3608,20198323,레드슈즈,2019-07-25,5,-1,OLD,5,538834100,249708190,-3.2,-8322720,5.8,607,1159,20190726
77,103405,-23.9,19319,-6055,20192725,명탐정 코난: 감청의 권,2019-07-24,6,0,OLD,6,808958319,161889709,-17.1,-33321621,3.8,576,1208,20190726
78,88770,14.6,18183,2315,20190002,롱 샷,2019-07-24,7,0,OLD,7,781060049,168234469,27.5,36270069,3.9,449,1019,20190726
79,3328494,48.6,6496,2124,20184047,토이 스토리 4,2019-06-20,8,0,OLD,8,28179034050,54978120,60.2,20664270,1.3,150,219,20190726
80,10028046,14.2,3879,481,20183782,기생충,2019-05-30,9,1,OLD,9,85398275465,35740260,28.4,7905880,0.8,94,140,20190726
81,10926,-33,2297,-1131,20180442,사자,2019-07-31,10,-1,OLD,10,91180800,22166000,-23.8,-6940800,0.5,11,11,20190726
82,285130,-24.8,113781,-37480,20182490,나랏말싸미,2019-07-24,2,-1,OLD,2,2237990920,892072470,-24.9,-295175980,24.5,1165,6088,20190725
83,11226398,7.2,69033,4661,20183867,알라딘,2019-05-23,3,0,OLD,3,95684957649,555553490,6.9,35786070,15.3,770,2342,20190725
84,38123,100,34635,34635,20198323,레드슈즈,2019-07-25,4,0,NEW,4,289125910,258030910,100,258030910,7.1,590,1072,20190725
85,7674526,-3.8,34491,-1377,20196309,스파이더맨: 파 프롬 홈,2019-07-02,5,0,OLD,5,66054580120,278849850,-3.8,-10923970,7.7,618,1724,20190725
86,84086,-53.8,25374,-29561,20192725,명탐정 코난: 감청의 권,2019-07-24,6,-2,OLD,6,647068610,195211330,-53,-220118150,5.4,602,1289,20190725
87,70587,-2.7,15868,-448,20190002,롱 샷,2019-07-24,7,-1,OLD,7,612825580,131964400,-3,-4016060,3.6,442,1117,20190725
88,3321998,-12.2,4372,-608,20184047,토이 스토리 4,2019-06-20,8,0,OLD,8,28124055930,34313850,-9.3,-3521680,0.9,122,158,20190725
89,8629,43.9,3428,1046,20180442,사자,2019-07-31,9,2,OLD,9,69014800,29106800,53.4,10129800,0.8,18,18,20190725
90,10024167,18.6,3398,533,20183782,기생충,2019-05-30,10,0,OLD,10,85362535205,27834380,20,4640600,0.8,83,126,20190725
91,2734022,-18.8,129149,-29903,20175771,라이온 킹,2019-07-17,2,-1,OLD,2,24462341160,1079731330,-19.1,-255010870,27.8,1151,4982,20190724
92,11157365,-13.4,64372,-9945,20183867,알라딘,2019-05-23,3,-1,OLD,3,95129404159,519767420,-12.8,-76276350,13.4,700,2268,20190724
93,58712,5029.3,54935,53864,20192725,명탐정 코난: 감청의 권,2019-07-24,4,12,OLD,4,451857280,415329480,4207.1,405686480,10.7,591,1506,20190724
94,7640035,-29.4,35868,-14960,20196309,스파이더맨: 파 프롬 홈,2019-07-02,5,-2,OLD,5,65775730270,289773820,-29.2,-119548900,7.5,587,1776,20190724
95,54719,100,16316,16316,20190002,롱 샷,2019-07-24,6,0,NEW,6,480861180,135980460,100,135980460,3.5,443,1235,20190724
96,12317,100,5733,5733,20184621,엑시트,2019-07-31,7,0,NEW,7,99528000,47666000,100,47666000,1.2,23,23,20190724
97,3317626,-61.2,4980,-7866,20184047,토이 스토리 4,2019-06-20,8,-4,OLD,8,28089742080,37835530,-62.7,-63702910,1.0,130,182,20190724
98,10030,4832.1,3847,3769,20191845,난폭한 기록,2019-07-11,9,49,OLD,9,71820090,19272000,3033.7,18657000,0.5,19,23,20190724
99,10020769,-67,2865,-5810,20183782,기생충,2019-05-30,10,-5,OLD,10,85334700825,23193780,-66.5,-46077620,0.6,78,118,20190724
100,11092993,-1.1,74317,-851,20183867,알라딘,2019-05-23,2,0,OLD,2,94609636739,596043770,-1.6,-9844040,21.3,890,3153,20190723
