,audiAcc,audiChange,audiCnt,audiInten,movieCd,movieNm,openDt,rank,rankInten,rankOldAndNew,rnum,salesAcc,salesAmt,salesChange,salesInten,salesShare,scrnCnt,showCnt,targetDt
87,402932,100,6438,6438,20187427,명탐정 코난 : 제로의 집행인,2018-08-08,7,0,NEW,7,3065612361,48172000,100,48172000,1.6,31,140,20190109
88,1528904,-62,6213,-10144,20186281,범블비,2018-12-25,8,-3,OLD,8,12817004677,49089950,-62.4,-81459850,1.6,357,576,20190109
89,1648387,-72.8,4688,-12562,20170658,PMC: 더 벙커,2018-12-26,9,-5,OLD,9,13822048444,39788750,-71.9,-101755000,1.3,341,599,20190109
90,535666,-44,3155,-2483,20183785,점박이 한반도의 공룡2 : 새로운 낙원,2018-12-25,10,-2,OLD,10,4185730150,22139350,-44,-17398600,0.7,183,227,20190109
91,1424190,-74.8,49300,-146559,20170658,PMC: 더 벙커,2018-12-26,2,0,OLD,2,11865675717,397485250,-77.5,-1366457850,14.2,819,3311,20190102
92,9401415,-69.9,40954,-94925,20185485,보헤미안 랩소디,2018-10-31,3,0,OLD,3,81577505745,330326950,-73.3,-906411500,11.8,693,1836,20190102
93,1335596,-73,35828,-96790,20186281,범블비,2018-12-25,4,0,OLD,4,11183207902,283619450,-75.2,-859885250,10.1,719,2386,20190102
94,92774,-62.7,24845,-41841,20184187,언니,2019-01-01,5,0,OLD,5,828705850,204752400,-66.6,-408046050,7.3,529,1700,20190102
95,1348088,-65.1,23104,-43069,20175547,스윙키즈,2018-12-19,6,0,OLD,6,11068629652,179116350,-69.2,-401831350,6.4,587,1353,20190102
96,457111,-65,21225,-39349,20183785,점박이 한반도의 공룡2 : 새로운 낙원,2018-12-25,7,0,OLD,7,3582945300,150542800,-69.3,-340318300,5.4,501,843,20190102
97,528415,-67.9,10527,-22297,20182421,그린치,2018-12-19,8,0,OLD,8,4014208550,74478500,-71.8,-189809600,2.7,370,508,20190102
98,316992,-64.5,10414,-18958,20183479,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,2018-12-19,9,0,OLD,9,2457561500,74949850,-68,-158953750,2.7,280,383,20190102
99,1839636,-64.7,6794,-12454,20168773,마약왕,2018-12-19,10,0,OLD,10,16012496702,54248000,-68.7,-119276150,1.9,403,684,20190102
